"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"1","60.569127249157","27.1885307839635","1"
"1","60.5640660607078","27.1869636762408","2"
"1","60.5632941788784","27.1751257323065","3"
"1","60.5631274794025","27.1693214738708","4"
"1","60.563477181392","27.1619096118152","5"
"1","60.5638500484403","27.1535013249521","6"
"1","60.5645853436101","27.1370924219592","7"
"1","60.5649026452562","27.1259889666405","8"
"1","60.5652533380341","27.1196053234223","9"
"1","60.5659177683843","27.103918254475","10"
"1","60.5655174704183","27.094212084076","11"
"1","60.6117784988183","27.088364358707288","12"
"1","60.6167679068475","27.1105324789109","13"
"1","60.6107208449318","27.1233934037593","14"
"1","60.6078062408225","27.1458042335091","15"
"1","60.6074545373409","27.1544626676798","16"
"1","60.6043815828657","27.1622600529387","17"
"1","60.5970067319464","27.1696197356641","18"
"1","60.5954207777851","27.1715773526819","19"
"1","60.5935841381578","27.1740802037786","20"
"1","60.5882909172214","27.1823125095036","21"
"1","60.5854543354702","27.1864209237","22"
"1","60.5826480084518","27.1894403422536","23"
"1","60.578075298328","27.1914702850972","24"
"1","60.5744023948959","27.1916031774295","25"
"1","60.5680986219142","27.1917281948583","26"
"1","60.569127249157","27.1885307839635","27"
"2","60.4701898295624","26.9472258795049","1"
"2","60.4678258396274","26.9453209869504","2"
"2","60.4647068161885","26.9377280893757","3"
"2","60.4628559170436","26.9348736355487","4"
"2","60.4600313264405","26.9385390220571","5"
"2","60.4572238303217","26.936039989059044","6"
"2","60.4592192820784","26.9274259954349","7"
"2","60.4544693432061","26.9074571009687","8"
"2","60.4511714523827","26.8990618638582","9"
"2","60.4479356332739","26.8940028771419","10"
"2","60.4443136654595","26.8871889216483","11"
"2","60.447973702192","26.8771759247534","12"
"2","60.4518428439308","26.8777963919819","13"
"2","60.4571027442988","26.8763155368334","14"
"2","60.4595490261142","26.8783121579353","15"
"2","60.4605523614384","26.883199623927","16"
"3","60.46971485115622","26.95156363144471","1"
"3","60.4678258396274","26.9453209869504","2"
"3","60.4647068161885","26.9377280893757","3"
"3","60.4628559170436","26.9348736355487","4"
"3","60.4600313264405","26.9385390220571","5"
"3","60.4572238303217","26.936039989059044","6"
"3","60.4592192820784","26.9274259954349","7"
"3","60.4544693432061","26.9074571009687","8"
"3","60.4511714523827","26.8990618638582","9"
"3","60.4479356332739","26.8940028771419","10"
"3","60.4443136654595","26.8871889216483","11"
"3","60.447973702192","26.8771759247534","12"
"3","60.4518428439308","26.8777963919819","13"
"3","60.4571027442988","26.8763155368334","14"
"3","60.4595490261142","26.8783121579353","15"
"3","60.4605523614384","26.883199623927","16"
"3","60.4654590473124","26.8804958298669","17"
"3","60.467964438822","26.8784303341805","18"
"3","60.4746546008216","26.8743751817311","19"
"3","60.4755288658879","26.8715802163466","20"
"3","60.4773507012825","26.8678722306987","21"
"3","60.4803680438456","26.8655628854323","22"
"3","60.4826164826252","26.8582547449567","23"
"3","60.4870411145044","26.8529657220312","24"
"3","60.4908168655737","26.8546629759242","25"
"3","60.4927201639293","26.8564082800942","26"
"3","60.4943045728905","26.8568088206086","27"
"3","60.4947347687809","26.8621224255622","28"
"3","60.4948332759836","26.8669742304966","29"
"3","60.4931851043027","26.8744259878012","30"
"3","60.4912601423088","26.8774111096532","31"
"3","60.4890203439448","26.8800013425912","32"
"3","60.4871247729427","26.8821949002727","33"
"3","60.4883145026151","26.8919009773425","34"
"3","60.4878284011436","26.901019510152","35"
"3","60.4869936057944","26.9048060171156","36"
"3","60.4816065149144","26.9112674618531","37"
"3","60.4780632984973","26.9139866771771","38"
"3","60.4739226859235","26.9169638629253","39"
"3","60.4727539856038","26.9197883989285","40"
"3","60.4707022734374","26.9224937890644","41"
"3","60.4689323604327","26.922264353723","42"
"3","60.4653173870611","26.9276303258698","43"
"3","60.4642673867144","26.934435871355","44"
"3","60.4628559170436","26.9348736355487","45"
"3","60.463749145728","26.9389453263854","46"
"3","60.4654222738539","26.9430343583187","47"
"3","60.4670243389161","26.9469232580725","48"
"3","60.46971485115622","26.95156363144471","49"
"4","60.4620127856532","26.9392888421528","1"
"4","60.464235219322","26.9355008075795","2"
"4","60.4653143069094","26.926743693943","3"
"4","60.468466317328","26.9220704480024","4"
"4","60.4704853987698","26.9225619025663","5"
"4","60.4725856741214","26.9202469055036","6"
"4","60.4749291783834","26.9167527568478","7"
"4","60.479494198493","26.9128622217208","8"
"4","60.4827357159597","26.9104226585701","9"
"4","60.4878890133859","26.9044280777538","10"
"4","60.4931208952195","26.8990778189743","11"
"4","60.4967769324016","26.9011416028208","12"
"4","60.5035172615751","26.901822165815","13"
"4","60.5063196709505","26.896331227525","14"
"4","60.503149750926","26.8853961200644","15"
"4","60.5026134290101","26.8740686319612","16"
"4","60.5021050530231","26.8698681998149","17"
"4","60.499796014559","26.8616484729104","18"
"4","60.498652447701","26.8523192184735","19"
"4","60.4980582313481","26.8458624040192","20"
"4","60.4961148967858","26.8328956345767","21"
"4","60.4951409503773","26.8250166676046","22"
"4","60.4948382182572","26.8208074033235","23"
"4","60.4950398502555","26.814856014358","24"
"4","60.495537295951","26.8081928504231","25"
"4","60.4969065045121","26.7900991875904","26"
"4","60.4971095870185","26.7819526854963","27"
"4","60.4957728480722","26.771271220351","28"
"4","60.49117917468","26.7676042903582","29"
"4","60.4881350453564","26.7587498107195","30"
"4","60.4876129222133","26.7533536010882","31"
"4","60.4894109236041","26.7464760013274","32"
"4","60.4907073951412","26.7418670359365","33"
"4","60.4913885755638","26.736329099837","34"
"4","60.4947067216693","26.7240838937308","35"
"4","60.4951281719404","26.721216252594","36"
"4","60.4953633208075","26.7125849998611","37"
"4","60.4933714459701","26.7023880388145","38"
"4","60.4920261377098","26.6954604571793","39"
"4","60.4906364239988","26.6896818856284","40"
"4","60.4901517721529","26.6796225772662","41"
"4","60.4879598557669","26.6640918753015","42"
"4","60.4751083784616","26.6444346982502","43"
"4","60.4694453027411","26.6374802706246","44"
"4","60.467275602851","26.6326680726298","45"
"4","60.4700299098253","26.6248978119734","46"
"4","60.4897144331335","26.5610817157362","47"
"4","60.4908416249886","26.5545266758882","48"
"4","60.4907437564177","26.5503771842666","49"
"4","60.4919578837067","26.5445182485925","50"
"4","60.5138234783387","26.542291590738","51"
"5","60.5689229871989","26.8184590975951","1"
"5","60.5648593706143","26.8218598117111","2"
"5","60.5652199165988","26.825468276227","3"
"5","60.5596369055708","26.8333377636446","4"
"5","60.5541261422265","26.843337191783","5"
"5","60.5499190113555","26.8482591055663","6"
"5","60.5462595800004","26.8536395607438","7"
"5","60.5442042539122","26.8553122193275","8"
"5","60.5418478058251","26.8584052438215","9"
"5","60.5395529764549","26.8592800693425","10"
"5","60.5367059737132","26.8613794882898","11"
"5","60.5327914397965","26.8633551567466","12"
"5","60.5312858682164","26.8636945033625","13"
"5","60.5270441605071","26.8625415700264","14"
"5","60.5218868570093","26.8561365830126","15"
"5","60.5175851997998","26.8519449082553","16"
"5","60.5115251809673","26.8564962989276","17"
"5","60.5082265291924","26.8618884598628","18"
"5","60.5058930174104","26.8657341151826","19"
"5","60.5033133057103","26.8701925984652","20"
"5","60.5023961251658","26.8723103777819","21"
"5","60.5027913753062","26.8755099610798","22"
"5","60.5031407973875","26.8850502008988","23"
"5","60.5023728979927","26.8894890890674","24"
"5","60.5024202615693","26.8966730390369","25"
"5","60.4995564415568","26.893554324389","26"
"5","60.4983725905364","26.8910547227824","27"
"5","60.4965058176765","26.8909120324628","28"
"5","60.4951874188706","26.8922966366149","29"
"5","60.4940229225394","26.8950039130758","30"
"5","60.4925186227267","26.8958998758339","31"
"5","60.4907710420527","26.8971188994813","32"
"5","60.487661011624","26.8992649040817","33"
"5","60.4857728459978","26.9011701371697","34"
"5","60.4825536933448","26.9062674608815","35"
"5","60.4822386806836","26.9093561494313","36"
"5","60.4816065149144","26.9112674618531","37"
"5","60.4780632984973","26.9139866771771","38"
"5","60.4739226859235","26.9169638629253","39"
"5","60.4727539856038","26.9197883989285","40"
"5","60.4707022734374","26.9224937890644","41"
"5","60.4689323604327","26.922264353723","42"
"5","60.4653173870611","26.9276303258698","43"
"5","60.4642673867144","26.934435871355","44"
"5","60.4628559170436","26.9348736355487","45"
"5","60.463749145728","26.9389453263854","46"
"5","60.4654222738539","26.9430343583187","47"
"5","60.4670243389161","26.9469232580725","48"
"5","60.46971485115622","26.95156363144471","49"
"6","60.569127249157","27.1885307839635","1"
"6","60.5723182352896","27.1894879281845","2"
"6","60.5748279529494","27.1820854401417","3"
"6","60.5770612388308","27.1786275458063","4"
"6","60.5817006151627","27.1754166382022","5"
"6","60.5817422424944","27.168540806843","6"
"6","60.577642119661","27.1649004441752","7"
"6","60.575066257438","27.1603523914492","8"
"6","60.5745138475127","27.155085001846","9"
"6","60.57258807972551","27.148828197087898","10"
"6","60.5746342609357","27.1431787731512","11"
"6","60.5770040770466","27.1445071801045","12"
"6","60.5779886772817","27.1512410629753","13"
"6","60.5747586423794","27.1548115246861","14"
"6","60.5759568033803","27.1614251313324","15"
"6","60.5779577178076","27.1662228150177","16"
"6","60.5820555511426","27.1696461493756","17"
"6","60.5843303831163","27.1689321914842","18"
"6","60.5877483962018","27.1720114592032","19"
"6","60.597718167659","27.1692206683066","20"
"6","60.6042092430638","27.1631714097056","21"
"6","60.6072831464507","27.1548869027442","22"
"6","60.6076226086154","27.1479292320296","23"
"6","60.6107173716949","27.1236578581066","24"
"6","60.6165269320737","27.1109415570861","25"
"6","60.6117784988183","27.088364358707288","26"
"6","60.6223457933891","27.1062156188753","27"
"6","60.6441388914658","27.0883199984278","28"
"6","60.649844880127","27.082914356909","29"
"6","60.6432188509632","27.037940467633213","30"
"6","60.6632569600747","27.0469195201273","31"
"6","60.653809087366","27.0770120236601","32"
"7","60.4979237731615","26.9705964333717","1"
"7","60.4996461470863","26.9731750485443","2"
"7","60.5027937031767","26.9703018522225","3"
"7","60.5043705659857","26.9660727916441","4"
"7","60.5034386404432","26.9618934520494","5"
"7","60.5085475709708","26.9649395313011","6"
"7","60.5138978841454","26.9569673374256","7"
"7","60.514089499035","26.9486350416902","8"
"7","60.5145613958945","26.9461422770359","9"
"7","60.5153018553406","26.9354226547093","10"
"7","60.5131134012849","26.9329257327727","11"
"7","60.5103686007487","26.9293742058765","12"
"7","60.5081640037152","26.9220917338016","13"
"7","60.5085797627682","26.9118344928432","14"
"7","60.5060884393128","26.9048674755453","15"
"7","60.5063196709505","26.896331227525","16"
"7","60.503149750926","26.8853961200644","17"
"7","60.5026134290101","26.8740686319612","18"
"7","60.5006072261244","26.8712925006978","19"
"7","60.4969194594458","26.8716180405192","20"
"7","60.4948098672738","26.8657968636387","21"
"7","60.4946727722367","26.8587876287628","22"
"7","60.4941266097109","26.8566760234181","23"
"7","60.4919483831426","26.8557315397855","24"
"7","60.4906372821816","26.8544935619641","25"
"7","60.4865187861747","26.8532368583355","26"
"7","60.4838560914751","26.8566364332288","27"
"7","60.481666492643","26.8595012393068","28"
"7","60.4794931662248","26.8668141814479","29"
"7","60.4770644161845","26.8683304033339","30"
"7","60.4749707961172","26.8728774543129","31"
"7","60.4742756859235","26.8770801457442","32"
"7","60.466502153293","26.8794348896019","33"
"7","60.4644111959174","26.881606796868","34"
"7","60.4605188549261","26.8830854883273","35"
"7","60.4592082712981","26.87679399689","36"
"7","60.4559055991746","26.8779722926546","37"
"7","60.4507392079251","26.8772018711919","38"
"7","60.4475503587037","26.8779796226821","39"
"7","60.4442762067579","26.8873163419205","40"
"7","60.445305277909","26.8907474307424","41"
"7","60.4502119024895","26.8970485510957","42"
"7","60.4544744848441","26.9074726639982","43"
"7","60.4590881829476","26.9276011845838","44"
"7","60.4576664765144","26.930522126578","45"
"7","60.4572626524147","26.9356219172487","46"
"7","60.4591990530671","26.9381513875581","47"
"7","60.46113537629","26.9377856607834","48"
"7","60.4620645044274","26.9361964422615","49"
"7","60.463749145728","26.9389453263854","50"
"7","60.4654222738539","26.9430343583187","51"
"7","60.4670243389161","26.9469232580725","52"
"7","60.46971485115622","26.95156363144471","53"
"8","60.5154576276848","26.9348041366995","1"
"8","60.5181838443042","26.9272906866575","2"
"8","60.5209234603097","26.9258870944329","3"
"8","60.5263055106185","26.9224032602466","4"
"8","60.5291365963312","26.9189535222165","5"
"8","60.531916437391","26.912960497955","6"
"8","60.5326871052252","26.9073654884101","7"
"8","60.5295099396183","26.903965151117","8"
"8","60.5270288232347","26.900848126469","9"
"8","60.5220540953438","26.9001177846491","10"
"8","60.5192042508501","26.8969037066631","11"
"8","60.5180638695162","26.8932500205004","12"
"8","60.5191525473774","26.8881180578682","13"
"8","60.5199534572091","26.8803903823843","14"
"8","60.5203060478669","26.8755244376679","15"
"8","60.5203446301036","26.8708849966439","16"
"8","60.5201528589441","26.8779950888246","17"
"8","60.5173564225898","26.8954803527112","18"
"8","60.5139006846528","26.8991993291163","19"
"8","60.5103448313475","26.902791944479","20"
"8","60.5073195119991","26.9055312505079","21"
"8","60.5060884393128","26.9048674755453","22"
"8","60.5059172799142","26.9002730029267","23"
"8","60.5027237948674","26.9023167472162","24"
"8","60.4959103009318","26.9000752597368","25"
"8","60.4940797032054","26.8985113731629","26"
