"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","municipality_id","stop_desc","stop_timezone","wheelchair_boarding","platform_code","vehicle_type"
"133804","","Karhulantie 100 E","60.5284325496888","26.9201196417698","2","","0","","","","","0","",""
"133805","","Karhulantie 100 P","60.5291365963312","26.9189535222165","2","","0","","","","","0","",""
"133806","","Karhulantie 134 E","60.5312870574897","26.9138359947556","2","","0","","","","","0","",""
"133807","","Karhulantie 142 P","60.531916437391","26.912960497955","2","","0","","","","","0","",""
"133808","","Karhulantie 190 E","60.5350591071205","26.9074932636512","2","","0","","","","","0","",""
"133809","","Karhulantie 198 P","60.535535591124","26.9068588573903","2","","0","","","","","0","",""
"133810","","Karhulantie 246 L","60.5396394926683","26.903511575604","2","","0","","","","","0","",""
"133811","","Karhulantie 253 I","60.5400591522152","26.9048100163886","2","","0","","","","","0","",""
"133812","","Karhulantie 313 P","60.5433755769921","26.9120250108203","2","","0","","","","","0","",""
"133813","","Karhulantie 316 E","60.5436285371113","26.9122317557163","2","","0","","","","","0","",""
"133814","","Karhulantie 354 P","60.5469751246655","26.9129299088161","2","","0","","","","","0","",""
"133815","","Sutelantie th P","60.5072119343156","26.8972572810234","2","","0","","","","","0","",""
"133816","","Munkholmantie  th E","60.5155295010236","26.8864339770924","2","","0","","","","","0","",""
"133817","","Kymintie 236 E","60.5220540953438","26.9001177846491","2","","0","","","","","0","",""
"133818","","Kymintie 238 P","60.5222187064501","26.9001946080843","2","","0","","","","","0","",""
"133819","","Kymintie 292 E","60.5270288232347","26.900848126469","2","","0","","","","","0","",""
"133820","","Kymintie 300 P","60.5277814349751","26.9015059582971","2","","0","","","","","0","",""
"133821","","Kymintie 312 L","60.5295099396183","26.903965151117","2","","0","","","","","0","",""
"133822","","Kymintie 320 I","60.5302007714199","26.905752232063","2","","0","","","","","0","",""
"133823","","Karellintie th E","60.5320098681423","26.9072403509438","2","","0","","","","","0","",""
"133824","","Karellintie th P","60.5326871052252","26.9073654884101","2","","0","","","","","0","",""
"133825","","Tavastilantie 12 I","60.5561799731498","26.9895022815459","2","","0","","","","","0","",""
"133826","","Tavastilantie 20 P","60.5565910637498","26.9886614382618","2","","0","","","","","0","",""
"133827","","Tavastilantie 62 P","60.560355992057","26.9878421722756","2","","0","","","","","0","",""
"133828","","Tavastilantie 66 E","60.5607144425634","26.9878899965929","2","","0","","","","","0","",""
"133829","","Tavastilantie 128 E","60.5661884316729","26.9855947712043","2","","0","","","","","0","",""
"133830","","Tavastilantie 132 P","60.566493616054","26.9852944346383","2","","0","","","","","0","",""
"133831","","Tavastilantie 150 P","60.567664569133","26.9831998856446","2","","0","","","","","0","",""
"133832","","Tavastilantie 158 E","60.5682798016738","26.9823579347769","2","","0","","","","","0","",""
"133833","","Tavastilantie 180 E","60.5700672921719","26.9802760181964","2","","0","","","","","0","",""
"133834","","Tavastilantie 190 P","60.5707078820261","26.9798107919545","2","","0","","","","","0","",""
"133835","","Tavastilantie 230 P","60.5742993422272","26.9776529419929","2","","0","","","","","0","",""
"133836","","Tavastilantie 230 E","60.5743168467169","26.9776432970483","2","","0","","","","","0","",""
"133837","","Tavastilantie 296 P","60.5797854567941","26.9766685036925","2","","0","","","","","0","",""
"133838","","Tavastilantie 304 E","60.5804027743026","26.9759350043584","2","","0","","","","","0","",""
"133839","","Tavastilantie 350 E","60.5843791733584","26.9739888671572","2","","0","","","","","0","",""
"133840","","Tavastilantie 358 P","60.5850935973464","26.9742582037012","2","","0","","","","","0","",""
"133969","","Hämeenkankaantie 66","60.7569227258812","27.3596594028982","4","","0","","","","","0","",""
"133970","","Hämeenkankaantie 70","60.7569246067671","27.360561399435","4","","0","","","","","0","",""
"134761","","Pyhtäänkuja th E","60.4890392257142","26.5318493703875","1","","0","","","","","0","",""
"134762","","Pyhtäänkuja th P","60.4896228913109","26.5328792408978","1","","0","","","","","0","",""
"134763","","Pyhtääntie 4 P","60.4906396677119","26.5356874710828","1","","0","","","","","0","",""
"134764","","Pyhtääntie 4 E","60.4908450259109","26.5363055553193","1","","0","","","","","0","",""
"134765","","Pyhtääntie 13","60.4919578837067","26.5445182485925","1","","0","","","","","0","",""
"134766","","Pyhtääntie 14","60.4919002852016","26.5447645622769","1","","0","","","","","0","",""
"134767","","Pyhtääntie 29 L","60.4907437564177","26.5503771842666","1","","0","","","","","0","",""
"134768","","Pyhtääntie 29 I","60.4907370935515","26.5506489645739","1","","0","","","","","0","",""
"134769","","Pyhtääntie 38","60.4908416249886","26.5545266758882","1","","0","","","","","0","",""
"134770","","Pyhtääntie 38","60.4907646573844","26.5552732197174","1","","0","","","","","0","",""
"134771","","Kirkkotie 388","60.4700299098253","26.6248978119734","1","","0","","","","","0","",""
"134772","","Kirkkotie 392","60.4697569077908","26.6258322043779","1","","0","","","","","0","",""
"134773","","Kirkkotie 456","60.467109471165","26.631834565092","1","","0","","","","","0","",""
"134774","","Purolantie 312","60.4667053078464","26.6328489630808","1","","0","","","","","0","",""
"134775","","Purolantie 328","60.4649004575866","26.6323151095691","1","","0","","","","","0","",""
"134776","","Purolantie 336","60.4643203684358","26.6318407845754","1","","0","","","","","0","",""
"134777","","Purolantie 366","60.4616998414226","26.6309506281808","1","","0","","","","","0","",""
"134778","","Purolantie 374","60.461114342924","26.6315605529129","1","","0","","","","","0","",""
